link,title,time,article
https://www.spglobal.com/commodityinsights/en/market-insights/blogs/metals/062822-china-nickel-sulfate-lme-pricing-mechanisms,Nickel sulfate vs metal: Is the market shifting towards new pricing mechanisms?,2022-06-28 11:55:00,"Three months after a historic short squeeze on the London Metal Exchange, which sent nickel prices soaring past $100,000/mt, the LME is back in the spotlight. This time it's facing two lawsuits, a complaint and a membership cancellation over the situation.

Many market participants have openly voiced their concerns and dented trust in the exchange, with hedge funds and trading houses leading the way in reducing nickel positions or backing out entirely.

For nickel sulfate producers and consumers, who have traditionally relied on LME nickel contracts to hedge price risks in the physical market, has there been an inclination to depart from tradition and seek out alternatives?

LME nickel prices disconnected from sulfate fundamentals

Nickel sulfate is one of the key raw materials that goes into the production of nickel-cobalt-manganese (NCM) batteries. The main feedstock for nickel sulfate is mixed hydroxide precipitate (MHP), nickel briquettes/powder or nickel matte.

However, nickel briquette, one of the few deliverable products on the LME, has been losing steam among Chinese refiners and precursor makers due to high metal prices. Some sources predict that it could be abandoned entirely in favor of cheaper intermediates like MHP and matte. But because MHP and matte are not deliverable on both the LME and Shanghai Futures Exchange, nickel prices to date have yet to reflect the new volumes from Indonesian mines this year, market sources said.

""The market is aware that exchange prices currently do not reflect market conditions for the battery sector,"" a Chinese analyst said. ""The pricing of nickel is a huge headache for everyone and definitely merits further discussion.""

Loss of exchange liquidity keeps risks high

Liquidity on the LME saw a huge hit after nickel trading was suspended for eight days starting March 8. While nickel prices have since dropped to below $30,000/mt, average daily trading volumes on the LME continued to trend downwards, falling to just above 40,000 mt in May, down 35% on the year.

""The market is still feeling the disruption from the LME and today the contract is still not working like it was before this event,"" one European nickel sulfate producer said.

A European automotive producer said they have also been wary of the LME nickel price since the short squeeze.

""We will definitely be looking at linking contracts to a price index for nickel,"" the automotive producer said. ""Ideally, automotive OEMs want long-term fixed price deals, but we know the risk associated with this. Sellers find a way to rip up a contract if the spot prices go too high  we have seen it on other raw materials.""

Although Chinese market participants traditionally reference SHFE in the domestic market, the LME-SHFE arbitrage remained a significant challenge as China is a net importer of nickel.

""We did receive requests from our Chinese customers on switching to SHFE pricing not long after the LME suspended trading,"" said a European trader. ""But we shot down the idea as we have no position in Shanghai, which prevents us from hedging our own risk.""

Some Chinese sources also pointed out that like the LME, SHFE only allows trading of nickel metal, which doesn't solve the fundamental issue of a growing decoupling between exchange prices and market fundamentals.

Unlike other battery materials such as cobalt and lithium, nickel is unique in not being primarily driven by global battery demand. About 70% of the world's nickel production is consumed by the stainless steel sector, while batteries take up a modest 5%.

S&P Global Market Intelligence forecasts global primary nickel consumption to rebound year-on-year due to stainless steel capacity expansions in China and Indonesia.

However, future growth in nickel demand will largely be driven by the battery sector, which is forecasted by Market Intelligence to move the market into a supply deficit in 2026. Many producers and end-users in the market also predicted that the battery sector's demand for nickel will accelerate substantially, with some pinning it to near 35% of total demand by 2030.

New contracts, pricing mechanisms: The way forward?

Despite the hiatus on the exchange, market sources said that they have yet to see a shift in the traditional LME-linked payables system for MHP, which is still the most favored raw material for nickel sulfate refiners. Instead, payable values fell from 90% to around 68%-70% over the past three months as a compromise to higher metal prices.

Currently, the payable for MHP is negotiated between buyer and seller, with no index or reference price commonly used by market participants. However, non-LME-linked pricing methods have been heard for other intermediates like nickel matte, which is expected to expand its market share as Chinese-invested mines in Indonesia ramp up volumes in the coming months.

Matte was heard to be priced as a payable basis domestic nickel sulfate price, according to traders in China.

""This pricing method has less risk for the battery industry compared to using exchange-linked prices which are driven by stainless steel, especially when market demand is weak,"" a Chinese trader commented.

Other nickel intermediates such as ferronickel and nickel pig iron were also heard to have adopted fixed pricing, decoupling from the LME altogether.

When surveyed on the possibility of a nickel sulfate contract, market participants were in favor of the idea, with a Chinese precursor maker quoted saying that ""it was definitely the way forward for the battery industry.""

""Previously, it was good so long as the LME was working. It was straightforward and the discussion was just on the nickel sulfate level. It would be good to have a reliable nickel sulfate benchmark,"" a European producer said.

""These contracts would be very welcome to the battery industry,"" a Chinese refiner source said. ""Personally, I think a nickel sulfate contract would be a great idea as it would more closely reflect actual market conditions.""

A South Korean battery maker commented that while it was a big challenge to change the index for nickel sulfate, many consumers did have the inclination to switch, and a nickel sulfate contract would be welcome.

Product standardization was a key issue highlighted by market participants, but sources largely agreed that the discussion and trial of new pricing methods was a step in the right direction.

""There will naturally be a progression away from nickel metal as battery markets expand,"" said a European producer. ""So a contract would be well-timed if launched.""

Platts, part of S&P Global Commodity Insights, will publish a nickel sulfate calculation in $/mt, as a direct US dollar conversion from its existing daily DDP China nickel sulfate assessment in Yuan/mt, effective July 1. Details on the new symbols and affected pages can be found in this subscriber note. Learn more about Platts daily nickel sulfate assessment. For enquiries or feedback on Platts battery metals assessments, reach out to battery_metals@spglobal.com.

With reports from Michael Greenfield and Scott Yarham"
https://www.bnnbloomberg.ca/jpmorgan-exits-nickel-saga-as-tycoon-shrinks-big-short-1.1785151,JPMorgan Exits Nickel Saga as Tycoon Shrinks _ig Short,2022-06-28 21:28:00,"(Bloomberg) -- JPMorgan Chase & Co. no longer has any exposure to the nickel bet that rocked global metals markets earlier this year, after a drop in prices on the London Metal Exchange allowed the tycoon at the center of the squeeze to exit his positions with the bank.

JPMorgan emerged as a central player in the fallout from March_ nickel chaos because it was the largest counterparty to the massive short position held by Chinese entrepreneur Xiang Guangda_ Tsingshan Holding Group Co. The US lender has had a close relationship for years with Tsingshan, and led the group of banks that agreed to backstop the company_ short position after prices spiked.

Tsingshan still has a short position in LME nickel, but it has been reduced to a fraction of its previous size and none of it is held through JPMorgan, according to people familiar with the matter, who asked not to be named as it_ not public.

Tsingshan_ final positions held through JPMorgan were closed out in the past few days, they said. That means JPMorgan has extracted itself from the saga, in which Tsingshan_ short position racked up mark-to-market losses of more than $10 billion dollars in just two days in early March.

A JPMorgan spokesman declined to comment. Multiple attempts seeking comments from Tsingshan were unsuccessful.

Margin Calls

Tsingshan_ inability to pay its margin calls to its banks and brokers was among the main drivers of a 250% surge in prices in early March. But the company got a reprieve after trading was suspended for a week, the transactions at the highest prices were canceled by the LME, and its banks -- led by JPMorgan -- agreed not to make further margin calls for a period of time.

Since then, nickel prices have drifted lower amid worries about the global economy, and Tsingshan has gradually reduced its position. It now has a short position of about 30,000 tons of nickel, the people said, down from a peak of more than 150,000 tons.

In its first quarter results in April, JPMorgan reported a $120 million loss related to nickel, in the form of a credit valuation adjustment on its exposure to counterparties it didn_ name.

_e_e helping our clients get through this, Chief Executive Officer Jamie Dimon said at the time. _e had a little bit of loss this quarter, we_e going to manage through it. We_l do post-mortems on both what we think we did wrong and what the LME could do differently later.

While the reduction in Xiang_ position means that the immediate crisis for Tsingshan and its lenders is largely over, the recriminations are only just beginning.

The Financial Conduct Authority and Bank of England are reviewing the LME_ actions during the squeeze, while hedge fund Elliott Investment Management and trading firm Jane Street this month launched legal action against the exchange.

©2022 Bloomberg L.P."
https://www.fnlondon.com/articles/jpmorgan-leaves-the-lme-nickel-crisis-behind-20220629,JPMorgan leaves the LME nickel crisis behind,2022-06-29 08:28:00,
https://www.businesslive.co.za/bloomberg/news/2022-06-29-jpmorgans-nickel-exposure-cut-as-chinese-tycoon-reduces-short-position/,JPMorgan_ Nickel exposure cut as Chinese tycoon reduces short position,2022-06-29 10:19:00,"Despite the Covid-19 restrictions in China, Kering will continue to invest in the country, CFO Jean-Marc Duplaix says"
https://www.investing.com/news/commodities-news/palladium-nickel-rise-as-uk-sanctions-norilsk-owner-potanin-2842291,"Palladium, Nickel Rise as U.K. Sanctions Norilsk Owner Potanin",2022-06-29 16:53:00,"© Reuters

By Geoffrey Smith

Investing.com -- Prices of platinum group metals and nickel rose in London on Wednesday after the U.K. placed Vladimir Potanin, the chief executive and principal shareholder of Russian mining giant Norilsk Nickel, on its sanctions list.

and both rose around 6% initially in response to the news, before paring gains. By 10:20 AM ET (1420 GMT), palladium futures on the London Metals Exchange were up 4.5%, while futures were up 0.5%. Nickel futures were also up 2.3%. As such, the three metals in which Norilsk has the most significant global market share were all outperforming other base and industrial metals futures, most of which were trading lower on recession concerns.

The U.K. government had sanctioned most of the oligarchs identified as close to President Vladimir Putin's government immediately or soon after Russia's invasion of Ukraine in February. However, it had held off from sanctioning Potanin, apparently out of concern at the possible disruption to supplies of vital metal supplies to the world economy. Similar measures applied by the U.S. to Oleg Deripaska, the majority owner of aluminum giant Rusal and Potanin's co-shareholder in Norilsk, had caused extreme volatility in the aluminum market due to the inability of exchange warehouses to accept metal from Rusal.

Potanin owns 35% of Norilsk Nickel, which is the world's largest producer of nickel and palladium, accounting for 14% and 41% of global output respectively. It's also the world's third-largest producer of platinum, with a global output share of 10%. Any prohibition on Norilsk's output would thus significantly tighten the supply of vital metals for the world economy. Palladium and platinum are mainly used in catalytic convertors by the auto industry, while nickel is an essential component of stainless steel and electric vehicle batteries.

Potanin himself has been a big beneficiary of western sanctions on Russia, able to scoop up two of the country's largest privately-owned banks at distressed price levels. Potanin bought the Tinkoff financial group from its founder Oleg Tinkov after the latter left Russia denouncing the war, while his Interros holding company also - which it had previously owned wholly - from France's Societe Generale (OTC: ), when it decided it could no longer run the asset.

The measures announced by the U.K. government on Wednesday didn't mention his relationship with Norilsk, but focused rather on his ownership of Rosbank. However, it has been common this year for companies dealing with Russia to 'self-sanction' and spontaneously stop trading with companies that they believe would put them in legal jeopardy."
https://www.reuters.com/markets/funds/nuts-bolts-lmes-cancelled-nickel-trades-legal-case-2022-06-30/?rpc=401,Explainer: Nuts and bolts of the LME's cancelled nickel trades legal case,2022-06-30 11:30:00,"Traders work on the floor of the London Metal Exchange in London, Britain, September 27, 2018. REUTERS/Simon Dawson/File Photo

LONDON, June 30 (Reuters) - Hedge fund Elliott Associates and Jane Street Global Trading are suing the London Metal Exchange for up to $500 million after the LME cancelled nickel trades on March 8 when prices soared to record highs above $100,000 a tonne in chaotic trade. read more

The nickel trading debacle is the biggest crisis to hit the world's oldest metals forum in decades. Suspension of trading on March 8 left consumers and producers without key benchmark prices and damaged the 145-year-old LME's reputation.

Sources familiar with the events around the suspension said that if the LME hadn't cancelled the trades, some of its members would not have been able to pay their margins, known as default.

Register now for FREE unlimited access to Reuters.com Register

""Decisions were made in part due to our conclusion that the significant price movements during early hours trading activity on 8 March had created a systemic risk to the market, including in relation to margin calls,"" an exchange spokesperson said in response to a request for comment.

The spokesperson added margin calls would have hit levels ""far in excess of those ever experienced in the LME market"".

Following are details about how margin calls work, what happened on March 7 and 8 and what happens if a LME member fails to pay margin calls.

HOW DO MARGIN CALLS WORK?

Margin calls are deposits of cash or collateral with the exchange's clearing house, LME Clear, to cover potential losses in a member defaults.

Initial margin is a percentage of the purchase price that members must deposit with LME Clear for their trades.

Variation margin is the difference between the price originally bought or sold at and the current market price or closing price. As prices move up or down the variation margin has to be topped up or cash is returned.

LME Clear calls for variation margin every hour during the day, to be settled within an hour. It also calls for variation margin at close of business, to be settled by 0900 London time the next working day.

WHAT HAPPENED?

Short position holders sell metal contracts on the LME and long positions buy.

The problem was Tsingshan Holding Group, China's largest private stainless steel producer, couldn't immediately get the cash it needed to meet margin calls on a large short position when nickel prices soared in early March. read more

Tsingshan can't trade on the LME as it is not a member.

Its short position would have been built via a LME member using over the counter (OTC) trades -- bi-lateral agreements between LME members and their clients.

Members that traded with Tsingshan would have held long positions, which can be netted off against other client positions or hedged by selling contracts on the LME, on which they would pay margin calls.

Tsingshan would have had a credit line with members to pay its margins. Once that credit was exhausted, members would have asked for cash.

WHAT HAPPENS IN A DEFAULT?

In the event of a member default, LME Clear takes over the member's portfolio and sells it.

Any losses are initially offset against margins paid by the defaulter, then by LME Clear's default fund, which in March amounted to $1.1 billion. Separately, LME Clear would contribute an additional 25% of its regulatory capital in the event of a default to cover the losses.

If there isn't enough money in the default fund, the clearing house and members have to keep topping up the fund until all the losses are covered.

SIZE OF POTENTIAL LOSSES?

Tsingshan had a short nickel position totalling around 300,000 tonnes at prices between $18,000 and $19,000 a tonne in early March, according to one source familiar with the matter. read more

How much of that was on the LME is not known and Tsingshan sold down some of its position on March 7. However, using the 300,000-tonne figure gives an idea of the scale of losses.

On March 4, LME Clear raised initial margin requirements for nickel by 12.5% to $2,250 a tonne effective at close of business March 8, which meant Tsingshan would have had to deposit another $75 million taking the total to $675 million. read more

Tsingshan would also have had to add $5.7 billion to its variation margin -- 300,000 tonnes multiplied by $19,159, the difference between the closing price on March 4 and 7.

This would have taken the variation margin Tsingshan needed to deposit on March 7 to $8.8 billion -- 300,000 tonnes multiplied by $29,578, the difference between the closing price on March 7 and costs between $18,000 and $19,000 a tonne.

On March 8, nickel trading was halted at $80,000 a tonne. At this level, if the LME hadn't cancelled the trades, Tsingshan would have had to find another $9.6 billion.

(This story has been refiled to clarify LME Clear's contribution in event of default)

Register now for FREE unlimited access to Reuters.com Register

Reporting by Pratima Desai; editing by Veronica Brown and David Evans

Our Standards: The Thomson Reuters Trust Principles."
https://www.reuters.com/markets/commodities/lme-examining-uks-sanctions-nornickel-boss-potanin-2022-06-30/?rpc=401,LME examining UK's sanctions on Nornickel boss Potanin,2022-06-30 11:32:00,"Traders work on the floor of the London Metal Exchange, in London, Britain September 27, 2018. REUTERS/Simon Dawson

LONDON, June 30 (Reuters) - The London Metal Exchange (LME) is examining sanctions which Britain has imposed on oligarch Vladimir Potanin, chief executive of Nornickel (GMKN.MM), the world's largest refined nickel producer, the exchange said on Thursday.

""We are looking into the detail of the sanctions and what it may mean for the LME, its participants, and Norilsk brands,"" a spokesperson of the LME said in a email.

Potanin, known as Russia's ""Nickel King"", was included in sanctions that Britain announced on Wednesday which included business figures, financial firms and other entities. read more

Register now for FREE unlimited access to Reuters.com Register

Nornickel said that its lawyers were looking at the impact of the British sanctions on Potanin, who is also the company's major shareholder.

""We are monitoring developments in respect of Russian sanctions closely. We note the UK government_ announcement on 29 June of new sanctions against Vladimir Potanin,"" the world's oldest and largest market for industrial metals said.

The LME is owned by Hong Kong Exchanges and Clearing Ltd. (0388.HK)

Register now for FREE unlimited access to Reuters.com Register

Reporting by Eric Onstad and Pratima Desai; editing by Jason Neely

Our Standards: The Thomson Reuters Trust Principles."
https://uk.finance.yahoo.com/news/explainer-nuts-bolts-lmes-cancelled-102331178.html,Explainer-Nuts and bolts of the LME's cancelled nickel trades legal case,2022-06-30 11:35:00,"FILE PHOTO: Traders work on the floor of the London Metal Exchange

By Pratima Desai

LONDON (Reuters) - Hedge fund Elliott Associates and Jane Street Global Trading are suing the London Metal Exchange for up to $500 million after the LME cancelled nickel trades on March 8 when prices soared to record highs above $100,000 a tonne in chaotic trade.

The nickel trading debacle is the biggest crisis to hit the world's oldest metals forum in decades. Suspension of trading on March 8 left consumers and producers without key benchmark prices and damaged the 145-year-old LME's reputation.

Sources familiar with the events around the suspension said that if the LME hadn't cancelled the trades, some of its members would not have been able to pay their margins, known as default.

""Decisions were made in part due to our conclusion that the significant price movements during early hours trading activity on 8 March had created a systemic risk to the market, including in relation to margin calls,"" an exchange spokesperson said in response to a request for comment.

The spokesperson added margin calls would have hit levels ""far in excess of those ever experienced in the LME market"".

Following are details about how margin calls work, what happened on March 7 and 8 and what happens if a LME member fails to pay margin calls.

HOW DO MARGIN CALLS WORK?

Margin calls are deposits of cash or collateral with the exchange's clearing house, LME Clear, to cover potential losses in a member defaults.

Initial margin is a percentage of the purchase price that members must deposit with LME Clear for their trades.

Variation margin is the difference between the price originally bought or sold at and the current market price or closing price. As prices move up or down the variation margin has to be topped up or cash is returned.

LME Clear calls for variation margin every hour during the day, to be settled within an hour. It also calls for variation margin at close of business, to be settled by 0900 London time the next working day.

Story continues

WHAT HAPPENED?

Short position holders sell metal contracts on the LME and long positions buy.

The problem was Tsingshan Holding Group, China's largest private stainless steel producer, couldn't immediately get the cash it needed to meet margin calls on a large short position when nickel prices soared in early March.

Tsingshan can't trade on the LME as it is not a member.

Its short position would have been built via a LME member using over the counter (OTC) trades -- bi-lateral agreements between LME members and their clients.

Members that traded with Tsingshan would have held long positions, which can be netted off against other client positions or hedged by selling contracts on the LME, on which they would pay margin calls.

Tsingshan would have had a credit line with members to pay its margins. Once that credit was exhausted, members would have asked for cash.

WHAT HAPPENS IN A DEFAULT?

In the event of a member default, LME Clear takes over the member's portfolio and sells it.

Any losses are initially offset against margins paid by the defaulter, then by LME Clear's default fund, which in March amounted to $1.1 billion. Separately, LME Clear would contribute an additional 25% of its regulatory capital in the event of a default to cover the losses.

If there isn't enough money in the default fund, the clearing house and members have to keep topping up the fund until all the losses are covered.

SIZE OF POTENTIAL LOSSES?

Tsingshan had a short nickel position totalling around 300,000 tonnes at prices between $18,000 and $19,000 a tonne in early March, according to one source familiar with the matter.

How much of that was on the LME is not known and Tsingshan sold down some of its position on March 7. However, using the 300,000-tonne figure gives an idea of the scale of losses.

On March 4, LME Clear raised initial margin requirements for nickel by 12.5% to $2,250 a tonne effective at close of business March 8, which meant Tsingshan would have had to deposit another $75 million taking the total to $675 million.

Tsingshan would also have had to add $5.7 billion to its variation margin -- 300,000 tonnes multiplied by $19,159, the difference between the closing price on March 4 and 7.

This would have taken the variation margin Tsingshan needed to deposit on March 7 to $8.8 billion -- 300,000 tonnes multiplied by $29,578, the difference between the closing price on March 7 and costs between $18,000 and $19,000 a tonne.

On March 8, nickel trading was halted at $80,000 a tonne. At this level, if the LME hadn't cancelled the trades, Tsingshan would have had to find another $9.6 billion.

(This story refiles to clarify LME Clear's contribution in event of default)

(Reporting by Pratima Desai; editing by Veronica Brown and David Evans)"
https://www.ibtimes.com/nuts-bolts-lmes-cancelled-nickel-trades-legal-case-3557954,Nuts And Bolts Of The LME's Cancelled Nickel Trades Legal Case,2022-06-30 17:23:00,"Hedge fund Elliott Associates and Jane Street Global Trading are suing the London Metal Exchange for up to $500 million after the LME cancelled nickel trades on March 8 when prices soared to record highs above $100,000 a tonne in chaotic trade.

The nickel trading debacle is the biggest crisis to hit the world's oldest metals forum in decades. Suspension of trading on March 8 left consumers and producers without key benchmark prices and damaged the 145-year-old LME's reputation.

Sources familiar with the events around the suspension said that if the LME hadn't cancelled the trades, some of its members would not have been able to pay their margins, known as default.

""Decisions were made in part due to our conclusion that the significant price movements during early hours trading activity on 8 March had created a systemic risk to the market, including in relation to margin calls,"" an exchange spokesperson said in response to a request for comment.

The spokesperson added margin calls would have hit levels ""far in excess of those ever experienced in the LME market"".

Following are details about how margin calls work, what happened on March 7 and 8 and what happens if a LME member fails to pay margin calls.

HOW DO MARGIN CALLS WORK?

Margin calls are deposits of cash or collateral with the exchange's clearing house, LME Clear, to cover potential losses in a member defaults.

Initial margin is a percentage of the purchase price that members must deposit with LME Clear for their trades.

Variation margin is the difference between the price originally bought or sold at and the current market price or closing price. As prices move up or down the variation margin has to be topped up or cash is returned.

LME Clear calls for variation margin every hour during the day, to be settled within an hour. It also calls for variation margin at close of business, to be settled by 0900 London time the next working day.

WHAT HAPPENED?

Short position holders sell metal contracts on the LME and long positions buy.

The problem was Tsingshan Holding Group, China's largest private stainless steel producer, couldn't immediately get the cash it needed to meet margin calls on a large short position when nickel prices soared in early March.

Tsingshan can't trade on the LME as it is not a member.

Its short position would have been built via a LME member using over the counter (OTC) trades -- bi-lateral agreements between LME members and their clients.

Members that traded with Tsingshan would have held long positions, which can be netted off against other client positions or hedged by selling contracts on the LME, on which they would pay margin calls.

Tsingshan would have had a credit line with members to pay its margins. Once that credit was exhausted, members would have asked for cash.

WHAT HAPPENS IN A DEFAULT?

In the event of a member default, LME Clear takes over the member's portfolio and sells it.

Any losses are initially offset against margins paid by the defaulter, then by LME Clear's default fund, which in March amounted to $1.1 billion. Separately, LME Clear would contribute an additional 25% of its regulatory capital in the event of a default to cover the losses.

If there isn't enough money in the default fund, the clearing house and members have to keep topping up the fund until all the losses are covered.

SIZE OF POTENTIAL LOSSES?

Tsingshan had a short nickel position totalling around 300,000 tonnes at prices between $18,000 and $19,000 a tonne in early March, according to one source familiar with the matter.

How much of that was on the LME is not known and Tsingshan sold down some of its position on March 7. However, using the 300,000-tonne figure gives an idea of the scale of losses.

On March 4, LME Clear raised initial margin requirements for nickel by 12.5% to $2,250 a tonne effective at close of business March 8, which meant Tsingshan would have had to deposit another $75 million taking the total to $675 million.

Tsingshan would also have had to add $5.7 billion to its variation margin -- 300,000 tonnes multiplied by $19,159, the difference between the closing price on March 4 and 7.

This would have taken the variation margin Tsingshan needed to deposit on March 7 to $8.8 billion -- 300,000 tonnes multiplied by $29,578, the difference between the closing price on March 7 and costs between $18,000 and $19,000 a tonne.

On March 8, nickel trading was halted at $80,000 a tonne. At this level, if the LME hadn't cancelled the trades, Tsingshan would have had to find another $9.6 billion."
https://www.mining.com/copper-zinc-nickel-price-rout-continues-despite-rebound-in-china-manufacturing/,"Copper, zinc, nickel price rout continues despite rebound in China manufacturing",2022-07-01 18:52:00,"Copper for delivery in September fell over 4% from Thursday_ settlement, touching a low of $3.55 per pound ($7,834 per tonne) in morning trade on the Comex market in New York, the lowest since February 2021. The most-traded August copper contract in Shanghai ended the day 4% weaker at 61,630 yuan or $9,190.

In London aluminium slipped 1.9% to $2,400 a tonne, zinc dropped 3.5% to $3,045 bringing its losses for the week to 9% and nickel eased 2.4% to $22,150. Tin fell 4% to $25,400 on Friday, but for the week the metal widely used in the electronics sector managed to gain 6%. Lead was the only gainer on Friday  up nearly 1% to $1,924.

Further to fall

Chinese PMI data showed manufacturing activity hit a 13-month high in June, but in a note Capital Economics said market participants, like the research firm itself, are assuming that the indicator _eflects the lifting of lockdown restrictions rather than an economic revival:

_t is increasingly clear that concerns about demand are taking precedence of supply issues in the metals markets.

_he prices of all the base metals fell by over 20% in the second quarter, despite still high energy prices (which raise the cost of metals production), ultra-low exchange stocks and, in most cases, subdued refined output.

_e think that prices have further to fall in the second half of the year, but we suspect that the big falls are now behind us.

Shares of major copper producers came under renewed selling on Friday. Units of BHP trading in New York lost 4.8%, Rio Tinto gave up 3.3%, Vale traded down 4.6% while Glencore was the worst performer with a decline of 5.6% in early afternoon trade in New York."
