link,title,time,article
https://www.egyptindependent.com/global-wheat-prices-fell-by-20-after-the-grain-export-agreement/,Global wheat prices fell by 20% after the grain export agreement,2022-07-24 11:51:00,"Wheat prices fell on global stock exchanges by more than 20 percent on Saturday after Ukraine and Russia signed two separate agreements with Turkey and the United Nations on Friday regarding the export of grain and agricultural products through the Black Sea.

While Russia’s Rosneft and Gazprom will be able to ship oil to non-EU countries, under the recent amendments to European sanctions.

The First Assistant Minister of Supply and Internal Trade and head of the Internal Trade Authority, Ibrahim Ashmawy, said that the price of a ton of wheat globally fell from US$480 to $390 on Saturday.

Ukrainian officials had announced earlier that about 20 million tons of wheat were seized as a result of the war with Russia, and with the signing of the agreement, it was announced that it would be put on the global market, which resulted in a decline in prices on global stock exchanges.

Ashmawy added, in statements to Al-Masry Al-Youm, that the state represented by the Ministry of Supply and Internal Trade bears the high prices of inputs for the production of a loaf of subsidized bread – the price of diesel and the price of wheat before signing the agreement – for the production of a loaf of bread at a price of five piasters, and the state bears the rest of the costs for citizens.

In addition, Russia’s Rosneft and Gazprom will be able to ship oil to non-EU countries, under amendments to European sanctions recently agreed by member states to reduce risks to global energy security.

Supply woes

Egypt, the number one country importing wheat, has had its supply of what imports badly impacted since the Russian invasion of Ukraine.

Egypt contracted India to make up for the shortage.

The government stressed in March the regularity of the supply chain of imported wheat contracted from multiple origins, thus enhancing the strategic reserve of wheat.

Edited translation from Al-Masry Al-Youm"
https://www.nasdaq.com/articles/grains-wheat-rebounds-on-doubts-over-ukrainian-exports-corn-firms,"GRAINS-Wheat rebounds on doubts over Ukrainian exports, corn firms",2022-07-25 03:53:00,"SINGAPORE, July 25 (Reuters) - Chicago wheat futures rose more than 2% on Monday, with the market recouping some of last session's deep losses on concerns over supplies from the Black Sea region, despite a Russia-Ukraine deal.

Corn rose 1.2%, while soybeans gained 0.6%.

FUNDAMENTALS

* The most-active wheat contract on the Chicago Board of Trade Wv1 (CBOT) added 2.4% to $7.77-1/4 a bushel, as of 0057 GMT.

* Corn Cv1 gained 1.2% at $5.71 a bushel and soybeans Sv1 rose 0.6% to $13.23-1/2 a bushel.

* Ukraine pressed ahead on Sunday with efforts to restart grain exports from its Black Sea ports under a deal aimed at easing global food shortages but warned deliveries would suffer if a Russian missile strike on Odesa was a sign of more to come.

* President Volodymyr Zelenskiy denounced Saturday's attack as ""barbarism"" that showed Moscow could not be trusted to implement a deal struck just one day earlier with Turkish and United Nations mediation.

* However, Russia's Foreign Minister Sergei Lavrov offered reassurances over Russian grain supplies to Egypt during a visit to Cairo on Sunday, amid uncertainty over a deal to resume Ukrainian exports from the Black Sea.

* Egypt is one of the world's top wheat importers and last year bought about 80% of those imports from Russia and Ukraine. Russia's Feb. 24 invasion of Ukraine disrupted shipments and sped up a rise in global commodity prices, delivering a financial shock to Egypt.

* Buyers from China purchased large volumes of Australian and French wheat this week in a sign that the Asian country is taking advantage of a recent dip in prices to fill its large needs, European traders said on Friday.

* Soybean exports from Brazil are expected to total 91.5 million tonnes in 2023, up from the 77.2 million estimated for 2022, as the world's biggest supplier prepares to plant a super crop.

* The projection, made by private consultancy Safras & Mercado on Friday, reflects bullish yield and acreage forecasts for the next season, which comes after one in which a drought spoiled part of the crop.

* Large speculators cut their net long position in CBOT corn futures in the week to July 19, regulatory data released on Friday showed.

* The Commodity Futures Trading Commission's weekly commitments of traders report also showed that noncommercial traders, a category that includes hedge funds, trimmed their net short position in CBOT wheat and cut their net long position in soybeans.

MARKET NEWS

* A gauge of global stocks fell on Friday to end the trading week on a down note after five straight sessions of gains, while the dollar dipped against a basket of major currencies after soft data on U.S. business activity.

DATA/EVENTS (GMT)

0800 Germany Ifo Business Climate New July

0800 Germany Ifo Curr Conditions New July

0800 Germany Ifo Expectations New July

1000 UK CBI Business Optimism Q3

2350 Bank of Japan releases Minutes of Monetary Policy Meeting

held on June 16 and 17

(Reporting by Naveen Thukral)

((naveen.thukral@thomsonreuters.com; +65-6870-3829; Reuters Messaging: naveen.thukral.thomsonreuters.com@reuters.net))

The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc."
https://www.nasdaq.com/articles/grains-wheat-rebounds-as-russian-attacks-cast-doubts-over-ukrainian-supplies,GRAINS-Wheat rebounds as Russian attacks cast doubts over Ukrainian supplies,2022-07-25 04:41:00,"By Naveen Thukral

SINGAPORE, July 25 (Reuters) - Chicago wheat futures rose more than 2% on Monday, recouping some of the previous session's sharp losses, as Russia's missile attacks raised concerns over Ukrainian supplies, despite a deal between the two nations.

Corn rose 1.2%, while soybeans added 0.2%.

""The Black Sea corridor itself is news but it does not guarantee that shortfall will reach the market,"" said Tobin Gorey, director of agricultural strategy at the Commonwealth Bank of Australia.

""Russia launched missile attacks on the port of Odesa over the weekend. The attacks make a mockery of the corridor agreement – but then by now that kind of action is hardly a surprise.""

The most-active wheat contract on the Chicago Board of Trade Wv1 (CBOT) climbed 2.5% to $7.78 a bushel, as of 0215 GMT.

Corn Cv1 gained 1.2% at $5.70-3/4 a bushel and soybeans Sv1 rose 0.2% to $13.18-1/4 a bushel.

Ukraine pressed ahead on Sunday with efforts to restart grain exports from its Black Sea ports under a deal aimed at easing global food shortages but warned deliveries would suffer if a Russian missile strike on Odesa was a sign of more to come.

President Volodymyr Zelenskiy denounced Saturday's attack as ""barbarism"" that showed Moscow could not be trusted to implement the deal struck just one day earlier with Turkish and United Nations mediation.

However, Russia's foreign minister, Sergei Lavrov, offered reassurances over Russian grain supplies to Egypt during a visit to Cairo on Sunday, amid uncertainty over a deal to resume Ukrainian exports from the Black Sea.

Egypt is one of the world's top wheat importers and last year bought about 80% of those imports from Russia and Ukraine. Russia's Feb. 24 invasion of Ukraine disrupted shipments and sped up a rise in global commodity prices, delivering a financial shock to Egypt.

European traders said on Friday buyers from China purchased large volumes of Australian and French wheat this week in a sign that the Asian country is taking advantage of a recent dip in prices to fill its large needs.

Soybean exports from Brazil are expected to total 91.5 million tonnes in 2023, up from the 77.2 million estimated for 2022, as the world's biggest supplier prepares to plant a super crop.

The projection, made by private consultancy Safras & Mercado on Friday, reflects bullish yield and acreage forecasts for the next season, which comes after one in which a drought spoiled part of the crop.

Large speculators cut their net long position in CBOT corn futures in the week to July 19, regulatory data released on Friday showed.

The Commodity Futures Trading Commission's weekly commitments of traders report also showed that noncommercial traders, a category that includes hedge funds, trimmed their net short position in CBOT wheat and cut their net long position in soybeans.

(Reporting by Naveen Thukral; Editing by Subhranshu Sahu)

((naveen.thukral@thomsonreuters.com; +65-6870-3829; Reuters Messaging: naveen.thukral.thomsonreuters.com@reuters.net))

The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc."
https://www.bnnbloomberg.ca/wheat-prices-jump-after-russian-missile-strike-tests-ukraine-deal-1.1796349,Wheat Prices Jump After Russian Missile Strike Tests Ukraine Deal,2022-07-25 04:58:00,"(Bloomberg) -- Wheat prices jumped after Russia attacked the sea port of Odesa with cruise missiles at the weekend, just hours after signing a deal to unblock grain exports from Ukraine, a move that was hailed as a vital step toward alleviating the global food crisis.

Futures in Chicago surged as much as 4.6%, before paring gains to trade 3% higher at $7.82 a bushel by 11:20 a.m. in Singapore. Prices slumped almost 6% on Friday to close at the lowest level since early February after the agreement was reached to allow shipments from three Black Sea ports including Odesa.

Millions of tons of grain are stuck in Ukraine after Russia’s invasion blocked its major ports. While a small volume has been rerouted by road and rail, major customers in the Middle East and North Africa have been forced to look elsewhere for supplies, pushing up prices and worsening food insecurity.

The Russian missile attack is “poor form considering the importance of this agreement, and reiterates the fears that an agreement with Russia isn’t worth the paper that it is written on,” according to Andrew Whitelaw, a grains analyst at Melbourne-based Thomas Elder Markets.

There were nine ships at Odesa sea port, including four loaded with corn worth $45.6 million, a person familiar with the matter told Bloomberg News. The grain ships were under the flags of Malta, Liberia, Sierra Leone and Panama, said the person, who asked not to be identified discussing private information.

The parties to the agreement committed not to undertake attacks against merchant vessels or port infrastructure engaged in the initiative, according to a copy of the document signed by Ukraine posted on Facebook by Andriy Sybiha, deputy chief of staff to Ukrainian President Volodymyr Zelenskiy.

Natalia Humeniuk, a spokeswoman for the Ukrainian military’s southern command, said on TV the missiles didn’t hit grain storage at the port.

Moscow broke its silence on Sunday, when Maria Zakharova, spokeswoman for the Russian Foreign Ministry, said on Telegram that Kalibr cruise missiles had destroyed a Ukrainian “military infrastructure facility” in Odesa.

Corn futures rose as much as 2.8% on Monday before paring gains to 1.2%, while soybeans were little changed.

©2022 Bloomberg L.P."
https://ukragroconsult.com/en/news/wheat-futures-close-down-nearly-50%c2%a2-friday-july-22-2022/,"Wheat futures close down nearly 50¢. Friday, July 22, 2022",2022-07-25 05:13:00,"Wheat futures close down nearly 50¢. Friday, July 22, 2022

Soybean prices closed higher, with corn and wheat closing lower and right at the lows for the week. The trade is selling corn and wheat futures as they read more about the “Grain Corridor” opening up. The theory is that the agreement will allow wheat and corn to flow out of Ukraine from the Black Sea port of Odessa. I doubt it.

I keep hand drawn charts and in May as the grain markets soared higher, prices went off the top of my charts. That proved to be a good sell signal. Today prices went off the bottom of my chart – this tells me we are getting close to the low.

September corn closed down 11¢ today at $5.64. December corn closed down 9¢ at $5.64. August soybean futures closed up 16¢ at $14.34, while the November contract closed up 14¢. Wheat futures closed 42¢ to 47¢ lower.

The nearby futures contracts show the following week to week price change: corn closed down 40¢ and soybeans closed down 32¢. CBOT wheat closed 18¢ lower. KC wheat closed down 17¢. Minneapolis wheat closed down 37¢.

Looking ahead to next week here are some keys to watch.

Watch to see how much the USDA lowers crop conditions in the report next Monday. The trade is expecting a 2-3% decline.

Watch for a possible pattern change. As prices have been trending lower the highs for the week have come in on Monday or Tuesday and the lows on Friday. See if that pattern can change next week. A change in the pattern can signal a change in the trend.

On Thursday we will watch to see if anyone delivers on the August soybean contract and if deliveries are made – who takes the deliveries.

Today in the outside markets, the U.S. dollar is down 0.27 points. Crude oil is down $1.68 per barrel, and the stock market has turned lower with the Dow down 275 points at this hour.

In the livestock markets on Friday August hogs closed up $2.40 at $118.70, August cattle closed up $1.65 at $137.37, and August feeders closed up $3.27 at $181.55.

A “Grain Corridor” opening would allow Ukrainian wheat back into the global export market. CBOT wheat is down 29¢. KC wheat is down 30¢. Minneapolis wheat is 33¢ lower. I am very skeptical of any significant amount of wheat moving out of the Ukrainian ports. I will watch the news carefully over this weekend. I think we are again being played by Putin.

Soybean prices are posting an impressive rally back today, and corn futures are also 1¢ to 2¢ higher.

At this hour, September corn is up 2¢, trading 11¢ above the low from last night. December corn is 3¢ higher. August soybean futures are up 22¢, which is 33¢ off the low. November soybeans are 26¢ higher.

I look at the good chance that crop conditions will move lower next week for corn and soybeans. The 30-to-90-day National Weather Service forecast for below normal precipitation and above normal temps are positives for corn and soybean prices. It feels like corn and soybean prices have made a short-term low, especially if prices can hold onto these gains into the close.

In the livestock market today, August hogs are up $1.27 at $117.60, August cattle are up $1.47 at $137.20, and August feeders are up $1.65 at $179.92.

In the outside markets, crude oil is up 51¢ per barrel, and the U.S. stock market is mixed. S&P 500 is down 8 points and the Dow is up 51 points.

Corn and wheat prices are under pressure as media reports that a possible grain corridor agreement will be signed later today. This would allow grain trapped in Ukraine to move. In my heart I hope this works, but my instinct tells me it will not.

September corn is down 5¢. December corn is down 4¢. Soybeans are higher after after testing major support. August soybeans are trading 5¢ higher, and November soybeans are up 4¢. Wheat futures are 28¢ to 34¢ lower.

On the Dalian Commodity Exchange in China, corn and soybean futures are lower. On the Matif exchange in Europe, wheat futures are 5¢/bushel lower at $11.89.

As I look ahead to next week, I look for the USDA Crop Progress report on Monday to show corn and soybean ratings down by 1-3% and several private forecasters have begun to take projected corn and soybean yields lower. When the funds are done selling, the grain market is setting up to be a good buy.

Around the world in the stock markets, China is down 0.1%, Japan is up 0.3%, and European stocks are up 0.5%.

In the early trade in the U.S. the stock market has turned higher with the Dow up 144. Crude oil prices are down 50¢ per barrel.

In the early trade in livestock futures, all are higher.

Author: Al Kluis

Tags: Ukraine, corn, prices, животноводство, Soybean, hogs, wheat, Одесса, cattle, futures, markets, Black Sea port, feeders"
https://asia.nikkei.com/Politics/Ukraine-war/Ukraine-war-Free-to-read/Ukraine-latest-Wheat-rebounds-as-Russian-attacks-cast-doubt,Ukraine latest: Wheat rebounds as Russian attacks cast doubt,2022-07-25 06:02:00,
https://www.brecorder.com/news/40187984/cbot-wheat-could-test-resistance-at-801-34,CBOT wheat could test resistance at $8.01-3/4,2022-07-25 09:21:00,"SINGAPORE: CBOT wheat could test resistance at $8.01-3/4 after its failure to break support at $7.65-1/2 per bushel.

The failure coincides with bullish divergence on the hourly RSI.

Together they suggest the formation of a bottom around $7.65-1/2.

A further bounce is highly likely after the downtrend has become exhausted.

Global wheat prices reach record levels

A break above $8.01-3/4 could prompt a gain into a range of $8.24 to $8.60-1/4. A break below $7.65-1/2 could open the way towards a range of $7.07-1/4 to $7.36-1/2.

On the daily chart, the contract opened sharply higher on Monday after the big black candlestick appeared on Friday.

Bears seemed to be bluffing within a contracting wedge, which could turn out to be a bottom pattern."
https://www.afr.com/markets/commodities/wheat-prices-jump-as-market-digests-odessa-strike-20220725-p5b4gi,Wheat prices jump as market digests Odessa strike,2022-07-25 11:03:00,"Singapore/Kyiv | Wheat prices jumped after Russia attacked the seaport of Odessa with cruise missiles at the weekend, just hours after signing a deal to unblock grain exports from Ukraine, a move that was hailed as a vital step toward alleviating the global food crisis.

Futures in Chicago surged as much as 4.6 per cent, before paring gains to trade 3.1 per cent higher by late afternoon in Singapore. Prices slumped almost 6 per cent on Friday to close at the lowest since early February after the agreement was reached to allow shipments from three Black Sea ports including Odessa.

Harvesting wheat in Ukraine. Prices have moved in line with Black Sea export hopes. Bloomberg

Millions of tonnes of grain are stuck in Ukraine after Russia’s invasion blocked its major ports. While a small volume has been rerouted by road and rail, major customers in the Middle East and North Africa have been forced to look elsewhere for supplies, pushing up prices and worsening food insecurity.

The Russian missile attack is “poor form considering the importance of this agreement, and reiterates the fears that an agreement with Russia isn’t worth the paper that it is written on”, according to Andrew Whitelaw, a grains analyst at Melbourne-based Thomas Elder Markets.

There were nine ships at Odessa sea port, including four loaded with corn worth $US45.6 million ($66 million), a person familiar with the matter told Bloomberg News. The grain ships were under the flags of Malta, Liberia, Sierra Leone and Panama, said the person, who asked not to be identified discussing private information."
https://www.theepochtimes.com/wheat-prices-surge-after-russian-missiles-strike-odesa-following-grain-deal_4619597.html,Wheat Prices Surge After Russian Missiles Strike Odesa Following Grain Deal,2022-07-25 11:15:00,"Wheat Prices Surge, Indicate Worse Food Crisis Ahead

Wheat prices rose on July 25, days after Russian forces struck the southern Ukrainian port of Odesa.

Chicago wheat futures surged by as much as 4.6 percent before paring the gain to trade 3.1 percent higher at $7.82 1/4 per bushel by 3:21 p.m. in Singapore.

Corn futures rose by as much as 2.8 percent on July 25 before the gain eased to 1.4 percent, while soybeans were up by just 0.3 percent.

Wheat prices dropped by almost 6 percent on July 22 after Russia and Ukraine, both of whom are major exporters of grains, reached a deal to allow crucial grain shipments to safely leave three Ukrainian Black Sea ports: Odesa, Pivdennyi, and Chornomorsk.

That level of prices haven’t been seen since before Russian President Vladimir Putin launched his “special military operation” in neighboring Ukraine in February.

The agreement was brokered by Turkey and hailed as a vital step toward helping to avert a global food crisis.

Representatives of Turkey, as well as Ukraine and Russia, met in Istanbul on July 22 to sign the deal, along with United Nations Secretary-General António Guterres.

Turkish President Recep Tayyip Erdogan said of the deal on July 22: “We are proud of being instrumental in an initiative that will play a major role in the solution of the global food crisis that has occupied the whole world for a long time.”

The president also said the deal would “contribute to preventing the danger of hunger that awaits billions of people in the world.”

Missile Strike

However, Russia said on July 25 that its cruise missiles had struck military infrastructure in Ukraine’s Odesa port over the weekend, shortly after the agreement was signed.

The strike used “Kalibr missiles” and destroyed Ukrainian military infrastructure, “sending a Ukrainian military boat to the Kiev regime’s favorite address in a precision strike,” Foreign Ministry spokeswoman Maria Zakharova said on Telegram on July 24.

The “favorite address” was a reference to Ukrainian forces on Snake Island in the Black Sea who reportedly told a Russian ship to “go [explicit]” itself before a Russian strike in February.

Serhii Bratchuk, a spokesman for the Odesa military administration, said on Telegram that Kalibr-type cruise missiles hit the infrastructure of the port and that two were shot down by Ukraine’s air defense forces.

“Two hit the port’s infrastructure facilities,” he wrote.

Natalia Humeniuk, a spokeswoman for the Ukrainian military’s southern command, said on TV that the missiles didn’t hit grain storage at Odesa’s port.

An estimated 20 million metric tons of grain have been held up in the port of Odesa in southwestern Ukraine, according to the BBC.

Wheat futures rose by 70 percent to a record high of $12.94 per bushel in the two weeks after the invasion began, prompting concerns that the conflict could impact global supplies, worsen food insecurity, and drive prices up further.

Wheat prices have gradually declined by roughly 42 percent since reaching those initial highs, but U.S. wheat features are still 15 percent higher than where they were last year, while the Benchmark French milling wheat futures are 65 percent higher than they were at this time last year, according to Business Insider.

The EU’s high representative for foreign affairs, Josep Borrell, said on July 23 that the bloc “strongly condemns” the attack.

He wrote on Twitter, “Striking a target crucial for grain export a day after the signature of Istanbul agreements is particularly reprehensible & again demonstrates Russia’s total disregard for international law & commitments.”"
https://www.nasdaq.com/articles/wheat-prices-rise-as-missile-strike-threatens-ukraine-export-pact,Wheat prices rise as missile strike threatens Ukraine export pact,2022-07-25 11:28:00,"By Nigel Hunt

LONDON, July 25 (Reuters) - Wheat prices rose sharply on Monday as a missile strike on the Ukrainian port of Odesa over the weekend raised doubts about whether it will be possible to implement last week's agreement to open a corridor for grain exports from the war-torn country.

Russia, Ukraine, the United Nations and Turkey signed the deal on Friday to reopen three Ukrainian Black Sea ports for grain exports. The deal is valid for 120 days and targets monthly exports of 5 million tonnes.

Wheat futures on the Chicago Board of Trade Wv1 rose nearly 4% to $7.86 a bushel on Monday, regaining much of the ground lost on Friday as prices fell nearly 6% after the pact was announced.

""A restart of Ukrainian exports will not only need a safe shipping channel, but also safe ports. The Russians have created doubt about the safety of ports hardly before the ink was dry on the shipping agreement. Doubt is there again,"" one European trader said.

Ukraine's sea ports have been closed since Russia's invasion in February and while some crops have left by rail or road via neighbours such as Romania and Poland, millions of tonnes have piled up on farms.

The decline in shipments from one of the world's biggest grain exporters has helped to fuel food inflation across the globe and U.N. agencies have warned it could lead to starvation and mass migration on an unprecedented scale.

""Along with the uncertainty about how long it will take to clear the mines, ship owners will simply not sail to Ukraine, no matter what the freight rate is, if they think their ship will be hit by missiles,"" another European grain trader said.

""Ukraine needs high-volume ocean ship exports to clear its storage for the new crop; the land and river exports to east Europe are not enough.""

Ukraine pressed ahead on Sunday with efforts to restart grain exports from its Black Sea ports under the new deal but warned that deliveries would suffer if a Russian missile strike on Odesa was a sign of more to come.

""Even if they say they are still working on resuming exports, I don't see who will want to insure ships that would go in that zone,"" a third European trader said.

The Kremlin said on Monday that the missile strike would not affect the export of grain.

In a conference call with reporters, Kremlin spokesman Dmitry Peskov said Russia had targeted military infrastructure.

Chicago corn futures Cv1 rose 2% to $5.75-3/4 a bushel while soybeans Sv1 were 0.9% up at $13.28 a bushel.

(Additional reporting by Naveen Thukral in Singapore, Michael Hogan in Hamburg and Sybille de La Hamaide in Paris Editing by David Goodman )

((nigel.hunt@thomsonreuters.com; +44 (0) 7990 561421; Reuters Messaging: nigel.hunt.thomsonreuters.com@reuters.net))

The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc."
