link,title,time,article
https://www.spglobal.com/commodityinsights/en/market-insights/latest-news/metals/070522-japanese-q3-aluminum-premium-to-lme-falls-to-148mt,Japanese Q3 aluminum premium to LME falls to $148/mt,2022-07-05 13:21:00,"Platts, part of S&P Global Commodity Insights, assessed the third-quarter premium for imported primary aluminum at $148/mt above London Metal Exchange cash, CIF main Japanese ports, on July 5, down 14% from $172/mt in the second quarter as market fundamentals remained weak in Japan.

Not registered? Receive daily email alerts, subscriber notes & personalize your experience. Register Now

It marked the third consecutive decrease in Japanese quarterly premiums, reflecting the weak market outlook.

Platts specifications are for all quarterly settlements on a CIF main Japanese port basis, negotiated before the quarter between two unaffiliated counterparties, for P1020/P1020A 99.7% primary aluminum ingot, with payment in cash against documents, for volumes of 500 mt/month or more under annual frame contracts.

The Q2 assessment was on the basis of at least 15 concluded settlements at $148/mt plus LME cash CIF Japan for seaborne P1020/P1020A ingot for loading over July to September, for a volume of at least 500 mt/month.

The 15 concluded deals were reported between June 28 and July 4, and the total volume of the trades was a minimum of 19,750 mt/month.

There were also five settlements reported done at $140/mt over June 17-21. The trades were not deemed repeatable by the close of the negotiations, whereby the majority of the deals reported in June to early July were concluded at $148/mt. The total volume of the five trades reported summed up to a minimum of 11,750 mt/month.

The lower premium was mainly attributed to the low demand for aluminum in Japan. Automakers in Japan have been cutting production lines because of the ongoing global semiconductor chip shortage coupled with supply chain disruptions caused by Chinese lockdowns.

In addition, the significant rise in stocks in Japanese ports, coupled with the weakening of the yen against the dollar, have contributed to the waning demand for aluminum.

Meanwhile, Platts CIF Japan spot premium for 99.7% P1020/P1020A aluminum ingot was assessed at $93-$103/mt plus London Metal Exchange cash, CIF Japan, on July 5, unchanged from July 4, according to S&P Global data."
https://www.alcircle.com/news/lme-aluminium-benchmark-price-contracts-by-us57-5-t-to-us2-374-t-shfe-price-nosedives-by-us122-t-80901,"LME aluminium benchmark price contracts by US$57.5/t to US$2,374/t; SHFE price nosedives by",2022-07-06 06:43:00,
https://www.alcircle.com/press-release/chinas-a00-aluminium-price-faces-a-huge-slump-of-rmb790-t-resting-at-rmb18240-t-alumina-price-in-shanxi-records-rmb5-t-hike-80902,China’s A00 aluminium price faces a huge slump of RMB790/t resting at RMB18240/t; Alumina price ,2022-07-06 07:13:00,
https://www.thehindubusinessline.com/portfolio/technical-analysis/commodity-calls/article65605650.ece,Aluminium futures: Break down looks imminent,2022-07-06 07:37:00,"The aluminium prices were range-bound for nearly two weeks, after a significant fall. The continuous Aluminium futures on the MCX (Multi Commodity Exchange), which has been declining since March, oscillated between ₹205 and ₹215 for a couple of weeks.

Currently, the contract is trading at around ₹205 and the price action on the lower time charts shows that it has been forming lower highs over the past two weeks and given a bearish trend, a breach of the lower boundary of the range i.e., ₹205 is imminent. Even if there is a rally from here, it is not likely to extend beyond ₹215.

Traders can short MCX aluminium futures in two legs. That is, initiate shorts worth 75 per cent of the total intended quantity at the current level of ₹205 and add shorts for the remaining if the price rallies to ₹215. Alternatively, if the contract breaks below ₹205 without moving up to ₹215, consider initiating shorts for that remaining 25 per cent post the breach of the support at ₹205. Keep initial stop-loss at ₹218.

The nearest support is at ₹186, and subsequent support is at ₹170.

When the contract falls to ₹186, exit three-fourths of the shorts and then tighten the stop-loss to ₹195. Exit the leftover shorts when the contract declines to ₹170."
https://www.alcircle.com/news/vedanta-increases-its-aluminium-wire-rod-price-by-inr3000-t-w-e-f-july-5-as-lme-price-grows-over-the-weekend-80904,Vedanta increases its aluminium wire rod price by INR3000/t w.e.f. July 5 as LME price grows,2022-07-06 08:45:00,
https://www.alcircle.com/news/hindalco-chops-its-aluminium-ingot-and-products-prices-by-inr4750-t-on-july-6-80909,Hindalco chops its aluminium ingot and products prices by INR4750/t on July 6,2022-07-06 12:49:00,
https://www.bnnbloomberg.ca/white-hot-metal-market-cools-in-warning-for-global-economy-1.1788456,White-Hot Metal Market Cools in Warning for Global Economy,2022-07-06 15:48:00,"(Bloomberg) -- A white-hot corner of the aluminum market that for months defied a broader slide in metal prices is finally slumping, flashing a warning that major industrial economies are stumbling toward a recession.

While commodity-grade aluminum ingots have been tumbling since March on the London Metal Exchange, until recently the premiums paid for specialized products like billets remained sky-high. Now those premiums for aluminum billets -- a cornerstone industrial product used to make extruded parts in buildings, cars and machinery -- are slumping from record highs in Europe.

That’s one of the first signs that investor fears about a broad-based industrial slowdown are starting to line up with conditions on the ground in physical metal markets. It’s a sharp turnaround for the billets market, which became a microcosm for Europe’s pandemic supply chain travails.

“We’re seeing a slowdown in our order intake in the construction sector, and those customers are typically the fastest to react,” said Rob Van Gils, chief executive officer of Hammerer Aluminum Industries, which uses billets to make specialized extruded products. “Other areas like autos and electronics are still healthy, but it’s certainly not as hot as it was last year.”

Premiums for billets, which aren’t traded on exchanges, hit record highs in March as soaring energy prices knocked smelters offline and prohibitively expensive container freight obstructed imports. With demand booming and the risk of further disruptions looming large, industrial buyers rushed to build inventories, adding to the unprecedented tightness in the region.

That stockpiling helped inflate premiums and exchange prices for commodities all over Europe as buyers shifted from just-in-time supply chain management to building up reserves in case of sudden shortages. Now, the logistics snarl-ups are starting to ease and consumers are sitting on considerable inventories.

“One of the reasons billet premiums went so high, apart from there being good demand, was logistics,” says Massimo Grifone, a commercial director at Genoa-based trader and distributor Cauvin Metals Srl, part of 132 year-old Italian commodities group Vittorio Cauvin SpA.

“There are not big inquiries currently because everyone has already bought; now you have billets on the ground and the majority of buyers have stocks more or less up to September,” Grifone said.

The steepness of the slowdown in demand remains the big unknown. Concerns over the recessionary impact of high energy prices and even potential power shortages are making European metal consumers wary of buying stock.

Hammerer’s Van Gils is still betting that demand for aluminum will grow marginally overall next year, as rising usage in lightweight vehicles and solar panels offsets a contraction in the construction sector. But that forecast would go out the window if the worst fears over Europe’s energy crisis come to pass, he said.

“I don’t think anybody can say for sure that that’s how events will play out, but there’s a reasonable worry that they could,” said Duncan Hobbs, head of research at London metal traders Concord Resources Ltd. “As a result people, don’t want to be holding substantial inventories.”

©2022 Bloomberg L.P."
https://www.alcircle.com/news/falling-aluminium-and-copper-prices-may-lead-kei-industries-to-reduce-its-prices-80911,Falling aluminium and copper prices may lead KEI Industries to reduce its prices,2022-07-06 19:56:00,
https://www.alcircle.com/news/falling-aluminium-and-copper-prices-may-lead-kei-industries-to-reduce-its-price-80911,Falling aluminium and copper prices may lead KEI Industries to reduce its price,2022-07-07 05:25:00,
https://www.alcircle.com/news/chinas-a00-aluminium-ingot-price-drops-by-rmb10-t-to-rmb18230-t-average-alumina-spot-price-inches-up-by-rmb1-t-80912,China’s A00 aluminium ingot price drops by RMB10/t to RMB18230/t; Average alumina spot price,2022-07-07 06:26:00,
